ANID	Project ID	Alternate_ID	Excavator	Source_Person	Affiliation	Region	Country	State_Province	County_District	Subregion	Site_Name	Site_Number	Material	Sample_Type	Description	Culture	Context	Provenience	Period	Analyis_Date	Fe	Fe_err	Zn	Zn_err	Rb	Rb_err	Sr	Sr_err	Y	Y_err	Zr	Zr_err	Nb	Nb_err	Th	Th_err	Source_Code	Source_Name								
BLUM0001	9	1958-HB177-722	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Secondary (Primary cortex)	Ancestral Puebloan	Surface		Talpa	2020	4892	101	35	5	159	4	4	1	20	2	70	2	40	2	18	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0002	9	1958-HB177-722	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Primary (Primary cortex)	Ancestral Puebloan	Surface		Talpa	2020	4015	97	26	5	132	4	3	1	18	2	67	2	36	2	14	1	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0003	9	19__-Surface-468	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau	HGB052/062 (Dicus Property)	LA 82564; LA 146967; LA 128011	Obsidian	Artifact	Projectile Point; Side Notched	Ancestral Puebloan	Surface		Valdez Phase	2020	4166	97	26	5	139	4	3	1	20	2	73	2	39	2	15	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0004	9	1956-HB129-670	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Archaic	2020	4169	95	31	5	151	4	4	1	20	2	73	2	42	2	15	1	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0005	9	1956-HB129-670	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Archaic	2020	3989	93	32	5	144	4	3	1	18	2	66	2	38	2	14	1	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0006	9	1953-Tower Site-128	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau	Tower Site		Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Unknown	2020	3991	94	33	5	149	4	4	1	19	2	67	2	36	2	15	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0007	9	19__-Surface-432	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau	HGB053 (White Property)		Obsidian	Artifact	Projectile Points	Ancestral Puebloan	Surface		Valdez Phase	2020	6839	124	74	7	195	5	<LOD	1	59	2	169	3	90	3	20	2	JMOR-NM	Jemez Mountains: Obsidian Ridge/Rabbit Mtn								
BLUM0008	9	1953-HB058-123	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau	HGB058 (Archuleta)	LA 71187	Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	"New Old Mound, Bag 53B"		Talpa Phase	2020	4149	93	32	5	153	4	3	1	20	2	68	2	40	2	14	1	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0009	9	1953-HB002-147	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Projectile Point; Side Notched	Ancestral Puebloan	Surface		Unknown	2020	4280	96	31	5	149	4	3	1	20	2	71	2	41	2	13	1	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0010	9	1953-HB002-147	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Projectile Point; Corner Notched	Ancestral Puebloan	Surface		Unknown	2020	3810	92	32	5	151	4	3	1	20	2	70	2	38	2	14	1	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0011	9	1953-HB058-133	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau	HGB058 (Archuleta)	LA 71187	Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Subsurface	Room 2; Level 1	Talpa Phase	2020	7165	125	77	7	191	5	<LOD	1	53	2	168	3	86	3	21	2	JMOR-NM	Jemez Mountains: Obsidian Ridge/Rabbit Mtn								
BLUM0012	9	19__-HB183-472	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau		LA 178502	Obsidian	Artifact	Projectile Point; Corner Notched	Ancestral Puebloan	Surface		Valdez	2020	4185	96	34	5	152	4	3	1	20	2	72	2	42	2	15	1	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0013	9	19__-HB189-416	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2020	3882	91	31	5	152	4	4	1	21	2	75	2	40	2	16	1	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0014	9	19__-HB189-416	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2020	4317	94	30	5	154	4	3	1	20	2	71	2	40	2	17	1	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0015	9	19__-HB-469	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau	Unknown		Obsidian	Artifact	Projectile Point; Side Notched	Ancestral Puebloan	Surface		Unknown	2020	4305	96	29	5	153	4	4	1	18	2	73	2	40	2	18	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0016	9	1956-HB124-654	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2020	5096	100	38	5	168	4	4	1	19	2	82	2	44	2	19	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0017	9	19__-HB076-368	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau		LA 53686	Obsidian	Artifact	Projectile Point; Side Notched	Ancestral Puebloan	Surface		Valdez Phase	2020	3417	88	31	5	140	4	4	1	20	2	71	2	37	2	14	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0018	9	19__-HB154-411	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau		LA 179595	Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Historic?	2020	3815	91	28	5	146	4	4	1	19	2	70	2	40	2	17	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0019	9	19__-HB154-411	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau		LA 179595	Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Historic?	2020	3667	92	24	5	137	4	3	1	19	2	66	2	38	2	13	1	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0020	9	19__-HB154-411	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau		LA 179595	Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Historic?	2020	3734	90	30	5	150	4	3	1	18	2	71	2	40	2	15	1	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0021	9	19__-HB154-411	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau		LA 179595	Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Historic?	2020	3630	90	30	5	145	4	4	1	20	2	72	2	40	2	15	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0022	9	19__-HB154-411	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau		LA 179595	Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Historic?	2020	5407	113	33	5	147	5	3	1	19	2	72	2	37	2	14	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0023	9	19__-HB154-411	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau		LA 179595	Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Historic?	2020	4248	99	30	5	136	4	3	1	19	2	75	2	38	2	14	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0024	9	19__-HB109-471	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau	HGB109 (Larrinaga Property)		Obsidian	Artifact	Projectile Point; Side Notched	Ancestral Puebloan	Surface		Valdez?	2020	3831	92	26	5	150	4	3	1	20	2	77	2	41	2	16	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0025	9	19__-HB109-404	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau	HGB109 (Larrinaga Property)		Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez?	2020	4206	96	32	5	141	4	4	1	18	2	77	2	37	2	15	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0026	9	195_-HB174-461	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Primary	Ancestral Puebloan	Surface		Valdez	2020	3697	90	31	5	145	4	4	1	21	2	69	2	39	2	15	1	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0027	9	195_-HB174-461	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Projectile Point; Stemmed	Ancestral Puebloan	Surface		Valdez	2020	4497	99	29	5	142	4	4	1	20	2	72	2	38	2	15	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0028	9	195_-HB174-461	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2020	7576	129	58	6	159	5	3	1	39	2	174	3	50	2	16	2	JMCM1-NM	Jemez Mountains: Cerro del Medio								
BLUM0029	9	195_-HB174-461	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2020	8352	134	81	7	193	5	1	1	57	2	185	4	89	3	20	2	JMOR-NM	Jemez Mountains: Obsidian Ridge/Rabbit Mtn								
BLUM0030	9	1958-HB-727	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau	HGB187-188-189 (Ray Property)	LA 69137	Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez-Talpa	2020	4674	101	28	5	153	4	4	1	21	2	81	2	41	2	16	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0031	9	1958-HB-727	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau	HGB187-188-189 (Ray Property)	LA 69137	Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez-Talpa	2020	4151	96	28	5	152	4	4	1	19	2	70	2	42	2	14	1	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0032	9	1953-HB095-143	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau		LA 9201	Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2020	2883	88	22	5	118	4	3	1	18	2	66	2	35	2	13	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0033	9	1958-HB-732	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Biface; Medial Fragment	Ancestral Puebloan	Surface		Valdez	2020	8523	136	51	6	155	5	4	1	40	2	173	3	52	2	17	2	JMCM1-NM	Jemez Mountains: Cerro del Medio								
BLUM0034	9	19__-HB077-370	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau		LA 87853	Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez Phase	2020	7427	132	56	6	154	5	3	1	37	2	163	3	51	2	13	2	JMCM1-NM	Jemez Mountains: Cerro del Medio								
